ZTF20aaomtwl 0.020000 Ia
58976.224838 2 18.2008 0.10719
58973.1601505 2 18.2154 0.0723504
58955.1982292 2 17.5059 0.0435222
58944.1528472 2 16.9971 0.0397919
58938.1602315 2 16.9108 0.0476172
58915.1437963 2 15.9902 0.0396263
58912.1739583 2 16.0753 0.0293163
58909.1619907 2 16.3051 0.0456601
58909.1145023 2 16.2566 0.0295352
58906.1687731 2 16.5477 0.032518
58903.1820833 2 17.1646 0.0385599
58903.1721181 2 17.1395 0.0403584
58900.1860995 2 17.9525 0.120001
58898.1631713 2 19.3232 0.079919
58898.1384954 2 19.3853 0.122758
