ZTF20aafmdzj 0.055700 Ic-BL
58900.1338426 1 19.8258 0.326091
58894.147419 1 19.9335 0.2215
58891.1844907 1 19.6714 0.207681
58885.1052083 1 19.1447 0.189358
58881.1490972 1 18.5856 0.120555
58878.1896644 1 18.3435 0.138358
58875.1630903 1 18.1991 0.068061
58872.1873032 1 18.1745 0.0621203
58863.1268171 1 17.914 0.0632777
