ZTF19acgcshq 0.051000 Ia
58806.3287616 2 19.3251 0.131624
58805.3903356 2 19.3069 0.202707
58793.4723148 2 18.676 0.084789
58787.5030208 2 18.4685 0.123449
58784.5020833 2 18.315 0.167272
58783.5064352 2 18.3773 0.10746
58781.4816782 2 18.4718 0.117483
58777.4436921 2 18.7358 0.0943976
58776.4215856 2 18.7788 0.133565
58775.3599884 2 18.9027 0.115227
58769.4386111 2 19.9988 0.259492
