ZTF20aaqrddh 0.079900 Ia
58941.412581 2 19.6326 0.156257
58936.423912 2 19.39 0.100854
58915.4251852 2 18.8628 0.225594
58914.413206 2 18.9414 0.103091
58913.4667014 2 18.9643 0.108229
58912.4779977 2 19.002 0.0969505
58911.4720602 2 19.1606 0.109683
58908.4672222 2 19.5072 0.125861
58908.4672222 2 19.5072 0.125861
58906.4570255 2 19.8516 0.161994
58904.488125 2 20.2004 0.206819
58903.4504977 2 20.6429 0.241729
