ZTF18aayjyub 0.030000 Ia
58351.1491667 2 19.3204 0.153983
58346.1740046 2 19.3164 0.125688
58337.1973611 2 19.0318 0.112222
58336.203287 2 18.9443 0.0904702
58334.1607407 2 18.8281 0.148764
58325.2140741 2 18.2405 0.0649634
58324.1804745 2 18.2046 0.0897091
58321.2177431 2 18.184 0.076493
58319.2152431 2 18.1782 0.0752926
58300.3214352 2 17.47 0.0576997
58300.1855671 2 17.4442 0.0410295
58297.2833102 2 17.3342 0.0463019
58297.2823727 2 17.2758 0.0579493
58294.2404398 2 17.2622 0.0551957
58294.2376852 2 17.2914 0.0403556
58291.2475926 2 17.2895 0.0392819
58291.2466667 2 17.2456 0.0561525
58288.2615162 2 17.3954 0.0555632
58288.2433218 2 17.38 0.0419446
58285.1784722 2 17.3401 0.0947116
58282.2253704 2 18.1232 0.0292579
58282.2220833 2 18.0953 0.0268688
58279.2627199 2 18.9617 0.0644384
58279.2454745 2 18.979 0.0599537
58276.2851389 2 20.1674 0.192213
