ZTF19abkfxfb 0.032000 II
58766.4834259 2 19.8006 0.164304
58763.4815972 2 19.3227 0.106781
58759.3767245 2 19.2447 0.0972023
58750.4635995 2 19.0351 0.139944
58747.4607639 2 18.8995 0.117133
58744.4598958 2 18.7838 0.158468
58735.4862384 2 18.8504 0.0773582
58732.4818287 2 18.7339 0.0842266
58725.4975926 2 18.7161 0.0777903
58722.485544 2 18.6414 0.0751956
58719.4632407 2 18.5035 0.0982435
58714.4564931 2 18.5179 0.099136
58711.4432639 2 18.4686 0.0975659
58705.4770602 2 18.3559 0.0663315
58698.4867014 2 18.1807 0.0588183
58694.4865394 2 18.1177 0.0453404
