ZTF18aczrafz 0.021000 Ia
58509.2148264 1 18.2881 0.11679
58507.2021875 1 18.1287 0.073142
58506.4458449 1 18.2353 0.160843
58505.246875 1 17.9068 0.0899904
58495.2216204 1 16.7703 0.0434147
58493.2365509 1 16.6636 0.0389946
58493.2126042 1 16.6315 0.0474044
58492.2228009 1 16.6028 0.110849
58488.2455556 1 16.3811 0.0392142
58480.2826736 1 16.6189 0.0461764
58480.2821991 1 16.695 0.0586645
58474.5092361 1 18.033 0.110056
58474.5064931 1 18.0878 0.0820778
