ZTF19aadwtoe 0.015300 Ic
58608.1667014 2 19.8422 0.208022
58584.1569213 2 19.5671 0.202628
58581.1533912 2 19.4521 0.281376
58568.1253472 2 19.5489 0.159898
58556.1902894 2 19.0101 0.122585
58547.208044 2 18.95 0.109279
58547.208044 2 18.95 0.109279
58547.1912847 2 18.9258 0.085253
58541.2880324 2 18.6042 0.179428
58526.2268981 2 18.0726 0.0653242
58523.2275347 2 17.9224 0.0627345
58510.2882986 2 17.7249 0.0635719
58508.288125 2 17.9259 0.065789
58508.2407755 2 17.9218 0.0543386
