ZTF19aapbfot 0.030000 II
58672.2134259 2 19.717 0.149807
58669.1809838 2 19.5601 0.159458
58666.2580324 2 19.5897 0.12846
58663.3048148 2 19.4485 0.152085
58660.2318981 2 19.3694 0.0912902
58657.2548727 2 19.2877 0.102849
58653.2072454 2 19.1833 0.103145
58650.2532523 2 19.2651 0.158319
58647.2537384 2 19.187 0.140082
58644.2726042 2 19.0874 0.109478
58638.2690856 2 19.0124 0.0962868
58635.2880093 2 19.0672 0.104453
58633.3513657 2 18.9846 0.114181
58632.3092361 2 19.0071 0.0978216
58632.3025116 2 18.9805 0.0886532
58616.3597801 2 18.8007 0.0781125
58608.3396875 2 18.7682 0.0892728
58605.3770718 2 18.7114 0.0971127
58597.3820023 2 18.7167 0.088562
58589.337662 2 18.8383 0.225507
58586.3783218 2 18.7749 0.103879
58580.4996644 2 19.0854 0.119295
