ZTF18aavrmlf 0.113000 Ia-91T
58905.2382176 2 19.7075 0.209946
58898.3683449 2 19.5105 0.150552
58896.3014352 2 19.4475 0.11117
58896.2986111 2 19.3567 0.148778
58895.4498264 2 19.2262 0.123937
58894.2805556 2 19.2446 0.10363
58893.3293866 2 19.2435 0.122687
58893.3084375 2 19.0884 0.103962
58893.3024074 2 19.0638 0.0938231
58892.3001505 2 19.0679 0.104121
58891.3257986 2 18.949 0.114018
58890.4273958 2 18.9423 0.151956
58890.4260069 2 18.819 0.158357
58888.4265741 2 18.8793 0.163928
58886.302662 2 18.8906 0.115668
58886.301713 2 18.8151 0.106055
58885.2400579 2 18.9141 0.159958
58884.4865856 2 19.0656 0.128512
58883.5123264 2 19.0993 0.141674
58883.5114236 2 18.8996 0.144564
58881.3630093 2 19.346 0.0979072
58880.3484259 2 19.2972 0.101343
58880.3475347 2 19.3683 0.114687
58878.3254745 2 19.4215 0.158125
58877.3196528 2 19.8021 0.199433
58282.2035995 2 19.6553 0.12671
