ZTF19aczeomw 0.035000 Ia
58880.2259954 2 19.9394 0.156968
58877.2568403 2 19.7812 0.156757
58875.2221065 2 19.7306 0.189794
58873.1736921 2 19.4024 0.106528
58871.2439468 2 19.3555 0.135584
58867.254213 2 18.9298 0.108638
58862.3517361 2 18.6859 0.0932279
58861.2036921 2 18.7456 0.134882
58860.2741782 2 18.5523 0.100652
58860.2262037 2 18.6904 0.0952441
58850.4538194 2 18.1641 0.0829458
58846.2777778 2 18.0154 0.0566564
58836.4362037 2 19.0298 0.104539
