ZTF19abgnuri 0.070000 Ia
58722.2973611 1 20.6827 0.290049
58720.3173032 1 20.4598 0.336938
58714.2134259 1 20.1202 0.289234
58711.2128472 1 20.1183 0.434174
58710.2134722 1 19.9332 0.266068
58709.2232523 1 19.849 0.286577
58708.2236458 1 19.8156 0.228401
58707.2225347 1 19.4889 0.163186
58706.225625 1 19.4419 0.146024
58705.2228819 1 19.3632 0.174884
58704.3040394 1 19.3808 0.143998
58703.3085764 1 19.2816 0.132845
58702.3081366 1 19.1499 0.110778
58701.3089468 1 19.0479 0.117343
58700.3053588 1 19.0038 0.0963318
58699.3087963 1 18.878 0.134105
58697.3258681 1 18.6898 0.0817322
58696.3065856 1 18.636 0.0681595
58695.3052894 1 18.5042 0.0856032
58694.2194444 1 18.4864 0.0738662
58693.2677315 1 18.5624 0.0730274
58690.206331 1 18.473 0.0671287
58688.3043519 1 18.4822 0.0590251
58685.3629977 1 18.6662 0.0905446
58684.2645255 1 18.9834 0.131113
58682.2027662 1 19.258 0.153695
58681.2039931 1 19.5166 0.225743
58680.198588 1 19.6033 0.22467
58678.264838 1 20.1406 0.342909
