ZTF18aatzygk 0.080000 Ia
58602.301875 2 19.343 0.122769
58296.2858449 2 19.838 0.201794
58293.2493403 2 19.6883 0.158886
58287.263588 2 19.2938 0.080917
58284.3031713 2 19.1487 0.0793003
58281.3290394 2 19.2494 0.0760512
58278.3090972 2 19.2377 0.0785636
58275.387037 2 19.0015 0.068686
58272.25 2 18.8426 0.0659749
58269.25 2 18.743 0.097504
58266.25 2 18.8046 0.0945616
