ZTF19abaosan 0.047000 Ia
58723.1391204 2 19.3688 0.15742
58718.1420255 2 19.2793 0.205576
58712.2370023 2 18.897 0.167818
58705.1656481 2 18.5851 0.108004
58705.1651968 2 18.5702 0.0868426
58701.1574537 2 18.4443 0.174748
58701.1565278 2 18.3981 0.251607
58698.1757176 2 18.3666 0.0990336
58698.1641088 2 18.3222 0.104357
58695.222338 2 18.1277 0.100294
58692.1763889 2 18.2321 0.0746937
58689.1749769 2 18.19 0.0596802
58686.2966782 2 18.0871 0.079702
58680.233287 2 17.6592 0.0481787
58677.2148264 2 17.5319 0.0484269
58677.2132292 2 17.5008 0.0769619
58674.2237269 2 17.4832 0.0576895
58674.2228241 2 17.4885 0.058647
58671.2078356 2 17.5314 0.076907
58671.2069329 2 17.5867 0.0611594
58668.1748843 2 17.7009 0.06759
58668.1739815 2 17.7486 0.0517821
58661.1909722 2 18.7518 0.0923928
58661.1905208 2 18.7143 0.0999856
58658.2344676 2 19.9918 0.182545
58658.2340162 2 20.214 0.184357
