ZTF20aalrptc 0.054000 Ia
58914.5171296 2 18.8446 0.087103
58911.5164005 2 18.6539 0.0885394
58906.5174537 2 18.5232 0.101816
58903.5196528 2 18.3526 0.091331
58898.4960995 2 18.1397 0.062516
58893.5271065 2 18.0784 0.060071
58890.4974653 2 18.0896 0.133176
58887.532419 2 18.3998 0.104032
58884.5427778 2 18.8057 0.126104
58881.5466204 2 19.6602 0.181873
