ZTF20aaeopvv 0.060000 Ia
58894.1251273 2 19.3104 0.0983429
58891.1191667 2 19.0785 0.0944191
58887.1206134 2 18.79 0.113378
58881.1139236 2 18.7062 0.0830818
58877.1216204 2 18.5277 0.0606299
58874.1134028 2 18.2713 0.0710701
58871.0965741 2 18.0778 0.038262
58867.1098727 2 18.0193 0.0757874
58860.2024306 2 18.2392 0.0696859
58859.1663773 2 18.4807 0.0709527
58856.1648495 2 19.3179 0.106669
58856.1443981 2 19.1881 0.091949
