ZTF20aacwxut 0.080000 Ia
58878.2559491 1 20.0364 0.30525
58875.3173611 1 20.0009 0.219332
58872.2331944 1 19.5754 0.129592
58867.3841319 1 19.0433 0.0931002
58864.399919 1 18.7841 0.0786512
58861.3458565 1 18.6178 0.134801
58855.439537 1 19.0577 0.0990151
58852.4782407 1 19.685 0.111691
58849.4643519 1 20.7224 0.286903
