ZTF19acuybzx 0.030000 Ia
58880.2259954 2 20.0505 0.170885
58877.2568403 2 19.8302 0.146543
58875.2221065 2 19.8061 0.177511
58874.2154745 2 19.7843 0.198273
58871.2439468 2 20.023 0.18399
58867.254213 2 19.5876 0.151807
58862.3517361 2 19.3355 0.110269
58861.2036921 2 19.264 0.174055
58860.2741782 2 19.4213 0.255645
58860.2262037 2 19.3521 0.180092
58850.4538194 2 18.7374 0.115271
58846.2777778 2 18.6205 0.0697226
58836.4362037 2 18.3974 0.0914749
58833.3014005 2 18.2612 0.0971684
58833.3009491 2 18.2356 0.105642
58828.3199769 2 17.897 0.0570841
58827.2872685 2 17.8674 0.0599687
58823.3628241 2 17.8352 0.231895
