ZTF19aarfksi 0.079800 Ia
58637.2349306 1 20.2476 0.23111
58633.2480903 1 20.2674 0.218041
58628.1921991 1 19.6696 0.109197
58622.169456 1 19.4012 0.293803
58619.2316667 1 18.9449 0.177401
58612.2541435 1 18.6023 0.0813836
58608.2742708 1 18.3897 0.0748716
58605.2306597 1 18.3402 0.063605
58600.2103819 1 18.4169 0.0655982
