ZTF18adazblo 0.027000 II
58592.232419 2 19.5932 0.19626
58584.1718287 2 19.321 0.125419
58582.2142014 2 19.29 0.12772
58581.1501852 2 19.2257 0.165149
58572.2129861 2 19.0076 0.166783
58567.2108912 2 19.0634 0.103556
58558.1879051 2 19.0032 0.147505
58558.184213 2 18.9664 0.120951
58556.2061921 2 19.0207 0.140069
58543.2678009 2 18.8989 0.184679
58541.2907755 2 19.0585 0.218214
58540.2216782 2 19.1068 0.100064
58534.3561574 2 18.7264 0.206606
58523.2127662 2 18.9917 0.0985885
58511.4142477 2 18.9855 0.0858938
58509.2856366 2 18.9582 0.109788
58493.4585995 2 18.837 0.0693942
58486.4746528 2 18.862 0.0820896
58481.4210648 2 19.2162 0.0920034
58480.4412153 2 19.4061 0.151794
