ZTF19abdqaao 0.055000 Ia
58707.4782523 2 19.801 0.176197
58704.4727431 2 19.669 0.150509
58696.3881713 2 19.2901 0.098006
58693.3906019 2 19.1364 0.078152
58690.4027894 2 19.012 0.0907495
58683.4204861 2 18.5719 0.092454
58677.4824421 2 18.353 0.0711723
58671.4320949 2 18.6976 0.163452
58668.3595023 2 19.2847 0.131272
