ZTF18ablqkud 0.068080 Ia
58374.1298264 2 19.8608 0.163177
58371.1340972 2 19.8657 0.168174
58368.1305208 2 19.6714 0.149508
58365.1333912 2 19.677 0.146477
58362.1361458 2 19.6591 0.143492
58359.2124074 2 19.255 0.151464
58356.2111921 2 19.1149 0.156963
58353.2679282 2 19.2909 0.185226
58353.1474653 2 19.1538 0.124985
58350.147581 2 18.9267 0.0884143
58346.1825463 2 19.0801 0.0862055
58343.1633565 2 19.1355 0.0815209
58340.1843519 2 19.4158 0.151841
58336.2127662 2 19.9278 0.128904
