ZTF19aanmdsr 0.125000 Ia
58616.4119329 2 20.0748 0.144621
58612.4692477 2 19.984 0.203445
58608.3675116 2 19.7402 0.184695
58605.410162 2 19.6806 0.146136
58596.4282986 2 19.2734 0.130245
58591.4568403 2 18.9627 0.183723
58587.4316898 2 18.7476 0.140698
58584.4073032 2 18.8151 0.102567
58580.4716435 2 18.8634 0.121135
58575.4466435 2 19.1029 0.105396
58572.4670718 2 19.3287 0.144531
