ZTF20aabcouv 0.048000 Ia
58896.1399653 2 19.5999 0.130262
58890.1492245 2 19.1642 0.167483
58887.1283796 2 19.1206 0.152617
58884.1481019 2 18.7715 0.138802
58880.1663079 2 18.9475 0.130614
58877.1435532 2 18.9018 0.0890604
58873.2034375 2 18.735 0.0983705
58862.197338 2 18.1155 0.0643787
58861.1737037 2 18.0624 0.0634215
58860.1828588 2 18.0589 0.0666291
58859.227963 2 18.0941 0.0620244
58859.1897222 2 18.176 0.0730718
58856.1679398 2 18.1638 0.0607551
