ZTF18aaygwqd 0.035000 Ib
58377.1353241 2 19.7737 0.166493
58371.1786806 2 19.8536 0.159084
58369.1331944 2 19.4362 0.1525
58368.2835069 2 19.5053 0.141595
58365.1391551 2 19.497 0.157769
58365.1385995 2 19.4604 0.116905
58362.1605903 2 19.5319 0.146743
58356.2837384 2 19.4311 0.175023
58348.1952315 2 19.2715 0.118779
58343.3307523 2 19.3178 0.10903
58338.1956597 2 19.3406 0.136256
58337.1963889 2 19.2597 0.160418
58332.3072685 2 19.1973 0.150171
58329.3473958 2 18.8702 0.121908
58326.325625 2 18.9767 0.142094
58321.2259375 2 18.9099 0.0915443
58320.2633565 2 18.7624 0.101411
58300.3406366 2 18.0696 0.0764417
58300.3224074 2 18.0045 0.0667323
58297.3226852 2 17.8854 0.057173
58296.2470023 2 17.8948 0.0681673
58293.3108333 2 17.8565 0.0614838
58293.2626852 2 17.8603 0.0448025
58290.2645139 2 17.8347 0.0561271
58290.2607986 2 17.7708 0.0384189
58287.2668287 2 17.8791 0.027547
58287.2630671 2 17.7938 0.0237475
58284.3209259 2 17.939 0.033465
58284.2828935 2 17.8391 0.0306647
58281.3431713 2 17.9973 0.0317843
58281.2243403 2 17.9096 0.0289353
58278.3081829 2 18.1999 0.0372209
58278.260706 2 18.13 0.0354155
58275.3865162 2 18.4084 0.0459824
