ZTF20aaosuzy 0.110000 Ia
58936.4078472 2 19.9303 0.18949
58915.3687963 2 18.9341 0.11049
58914.3641319 2 18.9362 0.0933466
58913.4537269 2 19.0098 0.116376
58912.4314352 2 18.9897 0.101568
58911.2396875 2 19.028 0.144939
58906.4663657 2 19.3051 0.095683
58905.2204398 2 19.2431 0.150577
58904.2227431 2 19.5004 0.119448
58903.3849769 2 19.6072 0.132854
58901.3947569 2 19.8095 0.15982
58900.2642824 2 20.0575 0.178657
58899.3465162 2 20.4153 0.219076
58898.3688194 2 20.7962 0.255449
58895.4521644 2 20.8937 0.372354
