ZTF18abjijwk 0.080000 Ia
58915.4644329 1 18.4634 0.0926674
58914.4349074 1 18.3903 0.0976199
58913.2996875 1 18.3365 0.081519
58912.5134954 1 18.3481 0.0698753
58911.3943519 1 18.3131 0.0718709
58909.219537 1 18.3756 0.127935
58906.3273495 1 18.4242 0.07792
58905.2821644 1 18.5366 0.0790088
58903.34875 1 18.6942 0.0941969
58900.324919 1 19.3465 0.281909
58899.4250231 1 19.4747 0.157486
58898.2799653 1 19.7755 0.169838
