ZTF19abqqrgy 0.029600 Ib
58812.1723148 2 19.8411 0.18938
58785.2503704 2 19.6165 0.165077
58777.2030208 2 19.5487 0.170906
58764.4006597 2 19.5005 0.168482
58760.2940278 2 19.2254 0.13978
58757.2942824 2 19.242 0.117329
58749.2934259 2 18.9498 0.112461
58743.3371991 2 18.5902 0.128574
58738.3384722 2 18.4375 0.096428
58735.3697222 2 18.2413 0.11873
58724.3761111 2 18.0806 0.0605865
58715.3764468 2 18.8912 0.114119
58710.3969907 2 19.4987 0.229751
