ZTF20aahgmud 0.117000 Ia
58908.4496528 2 20.327 0.189719
58904.4705556 2 20.1309 0.198224
58901.4189005 2 20.0996 0.187014
58900.4375231 2 19.9966 0.153535
58899.4410069 2 19.9815 0.159766
58898.3738773 2 19.9722 0.145904
58895.4424537 2 19.6933 0.137287
58892.3168866 2 19.5847 0.252147
58887.5159144 2 19.4587 0.143697
58884.5162384 2 19.4526 0.146971
58881.5386574 2 19.3686 0.0927666
58878.3605093 2 19.5191 0.204473
58875.5210764 2 19.7526 0.125393
58871.5022338 2 20.4711 0.242554
