ZTF19aasmkhn 0.100000 Ia
58641.333125 2 19.9791 0.173271
58638.3119792 2 19.7282 0.141525
58635.3586111 2 19.8942 0.188181
58632.331875 2 19.675 0.142566
58627.3774421 2 19.4194 0.136661
58616.3766204 2 18.9644 0.09298
58612.4183681 2 18.9885 0.0836712
58608.3777083 2 19.1085 0.112886
58605.3999421 2 19.3054 0.114294
