ZTF20aamttmo 0.050000 Ia
58967.3826389 2 20.262 0.210418
58964.4218056 2 20.4048 0.233365
58961.4570255 2 20.187 0.220063
58953.4574421 2 19.9138 0.195954
58943.4810069 2 19.6914 0.165597
58936.5065509 2 19.1694 0.107238
58914.5219792 2 18.4486 0.0775314
58911.5033333 2 18.1818 0.0994411
58908.5143171 2 18.0035 0.0631395
58908.5143171 2 18.0035 0.063139
58904.5237731 2 17.8912 0.06208
58899.516331 2 18.0104 0.067392
58894.5413079 2 18.373 0.0708565
