ZTF19aapcwdq 0.100000 Ia
58612.1760532 1 20.1048 0.18272
58608.2066088 1 19.674 0.117216
58605.2122801 1 19.4171 0.109233
58601.2480324 1 19.1546 0.0937449
58597.2550231 1 18.975 0.0976269
58591.1830208 1 18.7761 0.138573
58587.248588 1 18.9102 0.153833
58587.2481481 1 18.8425 0.133209
58586.2910185 1 18.8514 0.123371
58585.1999653 1 19.0169 0.113526
58582.1417361 1 19.4406 0.170486
58581.2104167 1 19.4838 0.156684
