ZTF19aavorpa 0.080000 Ia
58666.2336921 1 20.6773 0.310317
58657.2336806 1 19.9188 0.207259
58653.3168056 1 19.5053 0.250981
58650.2125 1 19.2341 0.249328
58647.3723495 1 19.1577 0.142131
58644.3380671 1 19.0121 0.101839
58641.2321991 1 18.9644 0.091151
58638.3544676 1 19.0052 0.11006
58635.4376852 1 19.2075 0.132682
58632.3361806 1 19.6834 0.180478
