ZTF19abnmrqt 0.080000 Ia
58733.3073495 1 20.55 0.331413
58732.2839468 1 20.4966 0.285668
58730.2856713 1 19.999 0.200052
58727.3089236 1 19.9304 0.205228
58727.181794 1 19.8313 0.175502
58726.2869676 1 19.8382 0.15931
58725.2855787 1 19.8282 0.191827
58724.309375 1 19.6874 0.18458
58723.3093519 1 19.6493 0.145909
58723.1771528 1 19.5109 0.122254
58722.2868171 1 19.4306 0.140931
58720.3072917 1 19.3603 0.136973
58719.2879167 1 19.279 0.149895
58719.25 1 19.2887 0.137931
58718.3082639 1 19.2664 0.171222
58717.2873264 1 19.2158 0.138536
58716.3073958 1 19.0212 0.123615
58716.1767361 1 19.1005 0.109747
58715.2869792 1 19.0043 0.113161
58714.2017477 1 19.0441 0.132055
58711.201169 1 19.0662 0.152839
58710.2017824 1 19.0133 0.156624
58710.1584259 1 18.8813 0.105733
58709.2303935 1 18.9959 0.132112
58709.2265856 1 18.9029 0.123603
58708.2307639 1 18.9659 0.144233
58708.2269907 1 18.9827 0.128596
58707.2296412 1 19.0098 0.139984
58707.2258796 1 19.1166 0.155815
58706.2327431 1 19.1095 0.143435
58706.2289699 1 19.1669 0.133884
58705.2299769 1 19.2842 0.118217
58705.2262153 1 19.2089 0.116237
58704.3111806 1 19.3278 0.134352
58704.3073843 1 19.4327 0.140706
58703.315706 1 19.4287 0.11928
58703.3119097 1 19.4653 0.0999554
58702.3152662 1 19.5001 0.135202
58702.3114699 1 19.5402 0.129198
58701.3160995 1 19.7904 0.161212
58701.3122917 1 19.6737 0.17537
58700.3087037 1 20.1503 0.19235
58699.3121296 1 20.554 0.27366
