ZTF19abqwtfu 0.014000 Ic-BL
58873.1102778 1 19.7466 0.194156
58863.1204051 1 19.585 0.182668
58835.1239352 1 19.216 0.25498
58831.1064468 1 19.1777 0.213728
58820.1275926 1 19.0074 0.206103
58812.1625463 1 19.0021 0.0874012
58811.1746181 1 18.9811 0.118379
58806.1794444 1 18.8871 0.102733
58803.1763194 1 18.9369 0.157674
58800.2037963 1 18.8434 0.163423
58798.1352431 1 18.8016 0.128314
58797.1906366 1 18.8016 0.106752
58796.1851736 1 18.9436 0.152904
58794.1691782 1 18.7666 0.107282
58791.1893519 1 18.7872 0.105877
58785.2182407 1 18.7179 0.0978179
58777.1866088 1 18.5738 0.100149
58764.363125 1 18.2457 0.0724479
58763.1996991 1 18.226 0.0862194
58762.1982523 1 18.1857 0.0782444
58761.1990162 1 18.1002 0.0703772
58760.1999653 1 18.0974 0.0721281
58754.1985069 1 17.8016 0.0604491
58751.1987153 1 17.6072 0.0561881
58750.2010764 1 17.4992 0.062155
58749.2007407 1 17.4368 0.043901
58748.198912 1 17.3139 0.0622083
58747.2000231 1 17.263 0.050214
58745.200081 1 17.1405 0.0372805
58744.1999306 1 17.0146 0.0552327
58743.2009144 1 16.9364 0.0455904
58742.2005671 1 16.7568 0.219694
58741.2002894 1 16.8036 0.0420245
58740.2034259 1 16.7801 0.0569205
58739.2036458 1 16.7588 0.0330174
58738.2045833 1 16.6706 0.0403922
58733.3746759 1 16.5513 0.0352729
58730.331088 1 16.6415 0.0369588
58725.3709838 1 17.0901 0.0394785
58717.4115856 1 18.7241 0.0910761
