ZTF19aanhlzi 0.054400 Ia
58616.2990162 2 19.5877 0.178849
58612.2483796 2 19.2245 0.103791
58606.2108333 2 18.9565 0.0922387
58600.2765972 2 18.7455 0.0744102
58596.2740046 2 18.6669 0.0818189
58593.2783333 2 18.6346 0.12624
58589.2728704 2 18.3811 0.142713
58586.3324769 2 18.2584 0.0715262
58583.3148264 2 18.1632 0.0811711
58580.3155556 2 18.0278 0.0630879
58575.3749653 2 18.1285 0.110372
58572.3571644 2 18.1854 0.0729439
58567.3613773 2 18.668 0.0993287
