ZTF18aazblzy 0.064000 Ia
58308.2090394 1 19.6188 0.147494
58308.2009259 1 19.6081 0.135113
58302.2073611 1 18.9163 0.132567
58299.2010532 1 18.6007 0.0852018
58299.1917361 1 18.6876 0.0789623
58293.2224074 1 18.2903 0.0821335
58293.2065394 1 18.3135 0.0932016
58290.2191551 1 18.2593 0.0619287
58290.2149421 1 18.2576 0.0962785
58284.2598843 1 18.783 0.0340696
58284.255162 1 18.7896 0.0372542
58281.291169 1 19.6755 0.0850336
58281.2610532 1 19.6485 0.0692628
