ZTF18aawyjjq 0.040000 II
58318.3820833 1 20.5083 0.189268
58310.3287731 1 20.1073 0.160349
58300.2134144 1 19.9191 0.180089
58293.3442708 1 19.5797 0.16633
58290.2158681 1 19.5425 0.174671
58288.3709259 1 19.3162 0.099459
58287.3414583 1 19.1488 0.0581276
58284.3638542 1 18.9145 0.0690879
58282.3650231 1 19.0297 0.0656939
58281.3861921 1 18.9533 0.0525682
58279.3625231 1 18.9538 0.0595392
58278.3601968 1 18.9051 0.0499465
58276.3601968 1 18.8348 0.045862
58272.5 1 18.6744 0.06478
58272.25 1 18.6787 0.0450216
58269.25 1 18.8988 0.131911
58269.25 1 18.7925 0.134993
58266.5 1 18.7326 0.128006
