ZTF19aawblge 0.043000 Ia
58665.4330093 2 19.4798 0.111785
58661.3408796 2 19.4817 0.144804
58658.4077662 2 19.3081 0.111677
58655.4521181 2 19.302 0.204602
58655.4125463 2 19.3278 0.17408
58652.428831 2 19.2406 0.168594
58649.3014931 2 19.1325 0.149333
58646.4736574 2 19.0968 0.113562
58643.4665972 2 18.8377 0.0853176
58637.4281597 2 18.4989 0.0605425
58634.3420486 2 18.4444 0.0707017
