ZTF18acslbve 0.050000 Ia
58503.112963 2 19.2796 0.141162
58493.1244444 2 19.0642 0.0778833
58490.1593171 2 19.0314 0.0752258
58486.108831 2 18.8905 0.0644333
58481.3009491 2 18.5344 0.0923224
58475.1504398 2 18.3505 0.0594061
58472.1194444 2 18.3701 0.0779582
58468.2576042 2 18.3781 0.0686855
58465.2709028 2 18.5203 0.0743088
58456.2096759 2 19.4574 0.136967
