ZTF19abctnpk 0.080000 Ia
58723.3728009 2 20.3286 0.21147
58717.3279167 2 20.1328 0.203066
58708.4854977 2 19.6907 0.160508
58705.4464931 2 19.6971 0.138555
58702.3810532 2 19.6361 0.145867
58696.389537 2 19.4966 0.0896079
58693.3915046 2 19.3971 0.0986473
58690.3719213 2 19.3309 0.123492
58686.3578935 2 19.1169 0.119727
58683.4186458 2 18.9231 0.0982553
58677.2983102 2 18.8328 0.103794
58674.4632986 2 18.8948 0.084964
58671.4334722 2 18.8946 0.30704
58668.3724653 2 19.3545 0.107112
58665.4413426 2 19.8345 0.154624
