ZTF19abzplvm 0.103000 Ia
58777.1555093 1 20.632 0.29768
58775.1558796 1 20.207 0.217089
58772.1572454 1 19.6934 0.195718
58768.1567477 1 19.5573 0.299313
58767.156169 1 19.3445 0.236309
58766.1586806 1 19.2323 0.159025
58765.1563194 1 19.4501 0.154281
58764.1556944 1 19.2648 0.153947
58760.3605324 1 19.1479 0.0938932
58754.288287 1 18.9412 0.116901
58750.3669676 1 19.123 0.102806
58747.3256366 1 19.3246 0.120048
