ZTF18abmmkaz 0.065000 Ia
58377.2277546 1 19.4844 0.115774
58374.2059606 1 19.3131 0.118752
58371.1926042 1 19.0178 0.0823132
58368.2052894 1 18.7661 0.0699476
58365.225 1 18.5528 0.0732504
58359.154213 1 18.1594 0.120928
58352.2080671 1 18.092 0.0666368
58349.2289005 1 18.1807 0.0657803
58346.3294792 1 18.5291 0.0819064
