ZTF18adasisj 0.034000 Ic
58547.2220949 1 19.3254 0.174837
58542.1398148 1 18.8324 0.106097
58522.1488426 1 18.548 0.07465
58514.1905671 1 18.4888 0.09777
58511.1669097 1 18.2948 0.096085
58507.1862037 1 18.2563 0.0600089
58505.2142245 1 18.184 0.119091
58494.1787731 1 18.5261 0.0680494
58493.2240625 1 18.5833 0.0801711
58491.1875231 1 18.7377 0.101805
58488.2377778 1 19.103 0.115106
58487.1936227 1 19.2899 0.142303
58480.273912 1 19.6615 0.187155
