ZTF20aajcdad 0.018000 Ib
58980.2269444 1 20.7836 0.286156
58968.2999884 1 20.4261 0.195846
58965.2589699 1 20.3605 0.296434
58962.3422801 1 20.4359 0.242505
58956.2449074 1 20.3217 0.254361
58944.4790856 1 19.9285 0.268897
58943.4143403 1 19.9975 0.316035
58941.4460301 1 20.0319 0.207555
58940.384213 1 19.8436 0.142898
58939.3501852 1 19.805 0.258758
58937.3943403 1 19.9543 0.192732
58936.3047338 1 19.9211 0.151866
58914.4726968 1 19.5438 0.228173
58911.4144444 1 19.1773 0.123119
58908.3441088 1 19.2836 0.109456
58904.4239815 1 19.0183 0.112797
58898.4356829 1 18.3836 0.074609
58893.4569097 1 17.6374 0.058277
58890.5400926 1 17.3518 0.0773101
58887.4765162 1 17.1676 0.0451737
58884.4767708 1 17.2225 0.0502848
58881.4954051 1 17.5466 0.0499168
58875.474919 1 19.1094 0.114278
