ZTF19adajivt 0.095000 Ia
58876.3243634 2 20.0413 0.20274
58873.2935995 2 19.9214 0.166367
58867.3720486 2 19.9011 0.19596
58864.3402199 2 19.522 0.1323
58860.3572338 2 19.5144 0.234961
58859.3368287 2 19.5438 0.258201
58855.3631597 2 19.2151 0.136775
58849.4545139 2 18.9426 0.0880817
58846.4566319 2 19.0216 0.0904481
58836.5041088 2 19.5972 0.174997
