ZTF19abcegvm 0.073000 Ic
58789.2263773 2 19.2206 0.158984
58785.2471759 2 19.2679 0.170691
58779.2200694 2 19.8871 0.19897
58775.1895718 2 19.0874 0.111819
58768.190081 2 18.8564 0.209014
58764.1865741 2 18.8746 0.138089
58758.2729514 2 18.7115 0.123077
58750.2734144 2 18.5321 0.102987
58744.3568056 2 18.4281 0.0882904
58735.3133681 2 18.4155 0.0976434
58726.3139352 2 18.3014 0.060014
58720.3767014 2 18.1619 0.0728257
58717.3315625 2 18.1832 0.0681034
58713.3554514 2 18.1633 0.104523
58704.5009259 2 18.2226 0.0886265
58701.3799306 2 18.1934 0.0639122
58698.4148727 2 18.2486 0.0785972
58694.355162 2 18.2901 0.0746789
58690.3986458 2 18.3141 0.0617886
58681.4186921 2 18.3311 0.088721
58673.4447801 2 18.5943 0.0669873
58670.4611806 2 18.8118 0.105957
58667.462037 2 18.9669 0.0863935
58662.4673611 2 19.4028 0.131144
