ZTF19abqsmns 0.138000 Ia
58746.2062963 1 20.4172 0.265994
58745.1818171 1 20.4921 0.292727
58744.1817014 1 20.2744 0.248485
58743.1826968 1 20.2997 0.344384
58741.1821296 1 19.985 0.288187
58738.1816667 1 19.7557 0.35796
58736.2953125 1 19.6775 0.250137
58735.28625 1 19.4103 0.17106
58734.2876736 1 19.8462 0.268916
58733.2864236 1 19.6093 0.179499
58732.2870949 1 19.6099 0.1784
58730.2888194 1 19.521 0.200648
58727.3120833 1 19.5086 0.168538
58726.2901157 1 19.4189 0.129284
58725.2888194 1 19.5855 0.124195
58723.3125 1 19.4655 0.133947
58722.2904977 1 19.4859 0.12915
58720.3104398 1 19.6524 0.173178
58719.2915972 1 19.6234 0.193478
58718.311412 1 20.014 0.194776
58717.2910069 1 20.1234 0.261834
58716.3110764 1 19.9547 0.270202
58715.2906597 1 20.1207 0.333734
