ZTF19aavwbpc 0.079000 Ia
58662.1755556 2 19.0909 0.152962
58649.2156944 2 18.3255 0.131529
58649.2152315 2 18.3914 0.13938
58646.2125347 2 18.4253 0.0888354
58646.2120833 2 18.5351 0.128857
58640.2196875 2 18.7447 0.0950594
58640.2187847 2 18.7049 0.0963566
58637.1809028 2 19.0829 0.0969236
58637.1799884 2 19.1562 0.0915886
58634.1693403 2 19.7219 0.194495
58634.1688773 2 19.5658 0.235543
