ZTF20aajjxwc 0.040000 Ia
58955.2466551 2 20.2262 0.21661
58944.1794444 2 19.7809 0.232081
58915.1412731 2 18.6142 0.0782053
58913.1986458 2 18.5513 0.0757279
58912.1978704 2 18.6205 0.0941958
58909.3080903 2 18.5452 0.0885555
58906.1956134 2 18.3247 0.071014
58903.1984375 2 18.1268 0.0590799
58898.3266204 2 17.9399 0.058142
58885.1735648 2 18.0465 0.106643
58884.1747801 2 18.2741 0.125173
58883.2013657 2 18.3031 0.23353
58882.1741435 2 18.6019 0.105546
