ZTF19abdkecj 0.073000 Ia
58699.4768056 1 20.5894 0.227314
58696.4417014 1 20.3774 0.188733
58693.4552315 1 20.2218 0.161468
58690.4648148 1 19.8872 0.175884
58685.4754977 1 19.5927 0.181953
58682.4857176 1 19.2342 0.16182
58673.4737963 1 18.489 0.0654164
58670.4555787 1 18.3334 0.0587121
58667.4449421 1 18.2718 0.0584963
58655.4761806 1 19.239 0.285941
