ZTF19abpxiff 0.055000 II
58775.3401736 2 19.8691 0.200003
58763.3551852 2 19.571 0.146728
58760.3298264 2 19.6752 0.15892
58757.517581 2 19.6327 0.207285
58747.4182986 2 19.4499 0.13713
58735.4807755 2 19.3317 0.165414
58727.5156134 2 19.1751 0.102185
58718.4799421 2 18.8177 0.129574
58715.4391204 2 18.784 0.117968
58712.4378935 2 18.9532 0.127353
