ZTF20aauowam 0.064000 Ia
58985.3842245 2 18.7957 0.0690386
58981.2861574 2 18.6893 0.093067
58980.291794 2 18.658 0.072947
58979.345081 2 18.6547 0.073889
58978.2741204 2 18.6235 0.0966105
58977.4052546 2 18.5739 0.107179
58977.2698843 2 18.716 0.136653
58976.3446296 2 18.5593 0.106618
58975.4010648 2 18.6998 0.093355
58974.3455208 2 18.5852 0.082596
58973.3405208 2 18.4693 0.0682901
58972.4199884 2 18.4723 0.0585658
58971.4155324 2 18.418 0.0576602
58970.3998495 2 18.3717 0.0602974
58968.3886574 2 18.2374 0.0524158
58967.3669329 2 18.1822 0.0590651
58966.3622222 2 18.2105 0.0951293
58965.3450116 2 18.0404 0.0678465
58964.4096065 2 18.0457 0.0555143
58962.3200347 2 17.9529 0.0542314
58961.4159838 2 17.9092 0.0711376
58956.3413194 2 17.9756 0.0656218
58955.4284954 2 18.0393 0.0589551
58954.463588 2 18.0508 0.0594882
58944.5060648 2 19.6981 0.187773
58943.496412 2 20.2877 0.205803
