ZTF19aboxjlj 0.070000 Ia
58751.1931597 1 20.8521 0.257015
58749.1952315 1 20.4973 0.223663
58748.1934491 1 20.3454 0.188645
58747.1945718 1 20.4784 0.254291
58745.1946759 1 20.1883 0.163123
58744.1945486 1 20.1303 0.233133
58743.195544 1 20.0749 0.261743
58738.1992824 1 19.746 0.29452
58736.4497917 1 19.5532 0.126087
58730.3070949 1 19.0683 0.0854116
58725.3223495 1 18.7484 0.0654946
58712.4702431 1 18.7726 0.152692
58708.4443403 1 19.2534 0.118336
58705.4075579 1 19.9469 0.12067
