ZTF20aakbtyz 0.090000 Ia
58914.3485301 2 19.5133 0.147332
58913.4320833 2 19.6641 0.204138
58912.4291319 2 19.5152 0.121865
58911.2453472 2 19.3671 0.207244
58908.4463773 2 19.4421 0.145062
58906.4527894 2 19.3161 0.156735
58904.4636227 2 19.2988 0.124299
58903.3858796 2 19.2313 0.0874853
58901.3929514 2 19.2435 0.101448
58900.4046412 2 19.0989 0.091021
58899.3493056 2 19.0354 0.093204
58898.3664236 2 18.9893 0.098242
58894.2853588 2 18.8228 0.0845347
58891.4907292 2 18.701 0.0842423
58888.4270255 2 18.6865 0.138412
58884.4884259 2 18.8537 0.106242
58881.3611806 2 19.2842 0.126213
