ZTF19abocled 0.074000 Ia
58735.495544 2 19.6426 0.169827
58732.5064583 2 19.5343 0.102822
58727.5051157 2 19.3745 0.113858
58724.4939699 2 19.2333 0.110781
58717.4701273 2 19.0134 0.121058
58714.4494444 2 18.8877 0.0991016
58711.434919 2 18.8769 0.117215
58708.5061111 2 19.0914 0.124547
58705.469375 2 19.3694 0.117381
