ZTF19acchtyp 0.060000 Ia
58811.2556134 1 20.2385 0.240823
58806.3815625 1 20.3036 0.242844
58806.3560185 1 20.3665 0.295707
58805.194456 1 20.2313 0.246988
58796.2753588 1 19.9995 0.269737
58795.2751273 1 19.6194 0.179289
58794.2586458 1 19.5234 0.13653
58791.3336921 1 19.28 0.104589
58790.3183449 1 19.1416 0.0940744
58782.3058912 1 18.4791 0.061977
58778.3085301 1 18.2283 0.0612195
58775.3860648 1 18.2095 0.0661388
58769.4976852 1 18.5265 0.105116
58763.4567245 1 19.1746 0.0948832
58759.4153241 1 19.9033 0.109513
