ZTF19abcegvm 0.073000 Ic
58789.2051273 1 20.0147 0.240604
58782.2282523 1 20.3544 0.343719
58779.1830903 1 20.0934 0.1953
58775.1823148 1 19.9494 0.186136
58764.2509375 1 19.7335 0.295787
58761.2726852 1 19.6143 0.195511
58758.3528819 1 19.4963 0.183263
58747.2934838 1 19.3004 0.159714
58741.2045139 1 18.9566 0.204113
58732.3806829 1 18.9648 0.100327
58720.3979745 1 18.7729 0.110475
58717.3981481 1 18.8116 0.128251
58713.4401273 1 18.7351 0.213613
58707.3976389 1 18.7221 0.111495
58701.3706597 1 18.6313 0.0748808
58694.4318981 1 18.5983 0.0748447
58690.4579514 1 18.595 0.0686263
58676.4236343 1 18.5959 0.0745701
58670.4349884 1 18.8094 0.0758337
58667.4387731 1 18.9417 0.0938005
58662.4397685 1 19.3694 0.0978521
