ZTF18abpamut 0.074000 Ia
58381.1414236 2 18.7437 0.101298
58378.136331 2 18.6376 0.0876513
58372.1387153 2 18.5195 0.0723547
58369.1308102 2 18.5404 0.0688885
58368.1419097 2 18.5648 0.0821065
58365.1430903 2 18.6761 0.08656
58365.1421412 2 18.5989 0.0772521
58362.1600694 2 18.8072 0.0753344
58362.1596181 2 18.8208 0.0771317
58359.2395949 2 19.059 0.157173
58356.2429282 2 19.6435 0.180579
