ZTF20aaghlkv 0.020000 Ia
58986.2236458 1 19.3463 0.116892
58980.2086227 1 19.297 0.079365
58974.2070486 1 19.2384 0.189615
58971.2975694 1 19.1136 0.12976
58968.2990162 1 19.0769 0.0908737
58968.2990162 1 19.0769 0.090874
58965.2553009 1 19.1108 0.114096
58963.3126505 1 19.017 0.0883728
58962.2347801 1 19.0311 0.0931791
58955.29875 1 19.0088 0.105126
58954.2949074 1 18.9242 0.0980351
58944.4440856 1 18.8881 0.127752
58943.4120718 1 18.8293 0.115434
58941.4446528 1 18.7449 0.0862807
58940.3832523 1 18.7488 0.124797
58939.3345139 1 18.6516 0.0925183
58937.392963 1 18.6786 0.0704922
58936.3070139 1 18.6513 0.0673269
58914.4736574 1 18.0307 0.0822615
58906.350463 1 17.4072 0.066897
58903.3730208 1 17.1393 0.0532983
58898.4020718 1 16.6335 0.035993
58894.3699074 1 16.2781 0.0339866
58887.4434375 1 15.8113 0.0341337
58881.4641898 1 15.6365 0.0409926
58878.5212269 1 15.7153 0.0281121
58875.4771991 1 15.928 0.036544
58871.4764931 1 16.5808 0.035884
58867.4255903 1 18.0118 0.0619669
