ZTF18accjdgs 0.082800 Ia
58796.1889352 1 19.3898 0.237246
58794.2060648 1 19.3282 0.161415
58794.1902894 1 19.2226 0.205021
58793.1883102 1 19.398 0.129968
58791.277037 1 19.187 0.155258
58791.2045949 1 19.335 0.131583
58791.2027778 1 19.1969 0.140128
58790.2573032 1 19.161 0.139146
58789.1598843 1 19.1552 0.133803
58788.1905903 1 19.138 0.171772
58788.1594907 1 18.9592 0.113926
58787.158588 1 18.9026 0.10611
58786.1662384 1 18.7937 0.0972694
58785.2136921 1 18.8644 0.0942172
58785.1593056 1 18.8184 0.098034
58783.1596181 1 18.7559 0.0902896
58781.2125347 1 18.7562 0.105166
58781.1592824 1 18.6114 0.0978391
58779.1593519 1 18.6301 0.0854987
58778.159537 1 18.6407 0.0920934
58777.1593519 1 18.5722 0.0997179
58776.1589236 1 18.4788 0.0892444
58775.1596991 1 18.475 0.0775566
58774.1596065 1 18.4887 0.0923971
58773.1596759 1 18.3152 0.135721
58772.1610532 1 18.6102 0.112332
58771.1935417 1 18.595 0.1507
58771.1607176 1 18.4287 0.173746
58770.1604977 1 18.4967 0.180907
58766.1624306 1 18.773 0.135249
58765.1638773 1 18.9086 0.141877
58764.3804977 1 19.5172 0.145451
58764.1594329 1 19.3007 0.117965
58763.3793866 1 19.4401 0.171813
58763.1773032 1 19.6216 0.276402
58762.1759722 1 19.7055 0.176721
58761.1762153 1 19.8478 0.183355
