ZTF19acpmuwu 0.066000 Ia
58838.0988889 2 19.3583 0.144674
58837.0736806 2 19.3349 0.162165
58814.1419676 2 18.617 0.15353
58811.1148611 2 18.5277 0.0745349
58800.2679977 2 18.7661 0.126537
58799.2164931 2 18.4604 0.114627
58797.1239468 2 18.8062 0.131992
58794.1092245 2 19.3941 0.15574
58792.1404167 2 19.9751 0.211285
58791.1128472 2 20.2056 0.320884
