ZTF19acbunmk 0.028000 Ia
58836.2139236 1 19.6621 0.185433
58806.3403935 1 18.9348 0.130537
58800.2328241 1 18.3398 0.215155
58797.2307407 1 18.672 0.172042
58790.3146759 1 17.9869 0.0919953
58787.3613773 1 17.7985 0.0886604
58784.4130324 1 17.4835 0.096046
58781.3922454 1 17.0706 0.0549553
58778.2954861 1 16.7854 0.0499933
58769.4831019 1 16.504 0.0371546
58763.4131019 1 17.0201 0.0529085
58760.4180208 1 17.7002 0.0616985
58757.4198958 1 18.8858 0.121993
