ZTF20aavvaup 0.032668 II
58986.1826505 1 18.3949 0.0918463
58985.1623727 1 18.3093 0.088213
58980.1736111 1 18.1143 0.0704113
58977.1605093 1 18.0417 0.0832172
58974.1810995 1 18.0752 0.0524875
58972.2448032 1 18.2069 0.095582
58971.2404282 1 18.2109 0.075418
58968.2190972 1 18.4275 0.0718921
58965.2190972 1 18.7544 0.0837751
